Айсинг	2.3	0.0	78.8	305
Карамель леденцовая Tunes с ароматом ментола и мяты	Карамель леденцовая Tunes с ароматом ментола и мяты	0.0	1.8	95.8	398
Карамель с ликёром	Карамель с ликёром	0.0	0.1	92.6	358
Карамель фруктовая	Карамель фруктовая	0.1	0.1	92.2	357
Карамель шоколадно-ореховая	Карамель шоколадно-ореховая	1.8	9.2	86.8	420
Кекс с изюмом	Кекс с изюмом	6.4	17.6	53.6	384
Кекс Уфимский	Кекс Уфимский	6.5	11.0	43.2	295
Козинак Арахисовый	Козинак Арахисовый	14.3	25.1	52.5	485
Козинак Кунжутный	Козинак Кунжутный	12.1	28.9	52.4	510
Козинак Подсолнечный	Козинак Подсолнечный	14.8	42.6	34.5	576
Конвертик слоеный	Конвертик слоеный	6.5	8.1	53.4	313
Конфеты 35 со сливочной начинкой	Конфеты 35 со сливочной начинкой	4.5	30.0	60.0	530
Конфеты Ferrero Rocher	Конфеты Ferrero Rocher	8.8	41.3	43.2	580
Конфеты Haribo Chamallows	Конфеты Haribo Chamallows	3.5	0.5	80.0	332
Конфеты Raffaello	Конфеты Raffaello	9.3	47.8	38.8	623
Конфеты Rondo с ароматом мяты	Конфеты Rondo с ароматом мяты	0.6	0.0	98.4	405
Конфеты Бабаевский Белочка	Конфеты Бабаевский Белочка	8.8	33.1	53.4	538
Конфеты батончики Рот-Фронт	Конфеты батончики Рот-Фронт	10.7	29.5	53.2	514
Конфеты Визит	Конфеты Визит	9.0	35.0	51.0	549
Конфеты грильяжные	Конфеты грильяжные	5.3	26.9	65.6	523
Конфеты Коровка сливочная	Конфеты Коровка сливочная	2.7	4.4	82.4	351
Конфеты кремовые	Конфеты кремовые	7.5	31.8	55.8	523
Конфеты лакричные	Конфеты лакричные	3.7	10.0	69.0	385
Конфеты Марсианка Чизкейк	Конфеты Марсианка Чизкейк	2.5	14.2	63.8	375
Конфеты молочные	Конфеты молочные	2.7	4.3	82.3	364
Конфеты Озерский сувенир Вишня Владимировна в шоколаде	Конфеты Озерский сувенир Вишня Владимировна в шоколаде	3.0	20.0	63.0	440
Конфеты Озерский сувенир Курага Петровна в шоколаде	Конфеты Озерский сувенир Курага Петровна в шоколаде	5.0	14.8	57.0	312
Конфеты Озерский сувенир Орех Сергеевич Грецкий в шоколаде	Конфеты Озерский сувенир Орех Сергеевич Грецкий в шоколаде	8.5	44.2	38.0	580
Конфеты Озерский сувенир Фундук Петрович в шоколаде	Конфеты Озерский сувенир Фундук Петрович в шоколаде	8.5	48.0	41.0	630
Конфеты помадные	Конфеты помадные	2.2	4.6	83.6	369
Конфеты Славянка Золотой степ глазированные арахис карамель	Конфеты Славянка Золотой степ глазированные арахис карамель	10.0	27.4	51.4	498
Конфеты Славянка Лёвушка	Конфеты Славянка Лёвушка	1.0	7.4	74.4	371
Конфеты Спринт с печеньем	Конфеты Спринт с печеньем	4.9	21.7	67.3	420
Конфеты фруктовые	Конфеты фруктовые	1.6	8.6	75.8	369
Конфеты шоколадные	4.0	39.5	54.2	569
Конфитюр	Конфитюр	0.9	0.2	40.3	183
Коржи бисквитные готовые	Коржи бисквитные готовые	5.9	0.8	56.3	258
Коржи вафельные	Коржи вафельные	10.2	4.2	65.7	341
Коржи для медовика	Коржи для медовика	6.3	11.4	64.5	384
Крекер Tuc Cheezzz	Крекер Tuc Cheezzz	8.5	24.2	57.5	485
Крекер Tuc Original	Крекер Tuc Original	8.1	22.0	61.5	479
Крем взбитый Альпенгурт Премиум	Крем взбитый Альпенгурт Премиум	2.6	18.0	9.0	207
Крем взбитый Альпенгурт Шоколадные мечты	Крем взбитый Альпенгурт Шоколадные мечты	2.8	24.0	13.0	281
Крем кондитерский	Крем кондитерский	0.2	26.0	16.5	300
Круассан Черёмушки без начинки	Круассан Черёмушки без начинки	8.0	28.8	41.6	461
