Сосиски докторские Велком	Сосиски докторские Велком	12.0	20.0	0.0	230
Сосиски классические с молоком Черкашин и Партнёръ	Сосиски классические с молоком Черкашин и Партнёръ	11.0	16.0	0.0	196
Сосиски куриные	Сосиски куриные	10.8	22.4	4.2	259
Сосиски любительские	Сосиски любительские	9.0	29.5	0.7	304
Сосиски молочные	Сосиски молочные	11.0	23.9	1.6	266
Сосиски молочные Мясницкий ряд	Сосиски молочные Мясницкий ряд	11.0	28.0	0.0	296
Сосиски молочные Черкашин и Партнёръ	Сосиски молочные Черкашин и Партнёръ	11.0	28.0	0.0	296
Сосиски Нежные Vego Миньон постные	Сосиски Нежные Vego Миньон постные	11.0	10.0	6.5	160
Сосиски Нежные Высший Вкус постные	Сосиски Нежные Высший Вкус постные	18.1	7.2	10.8	180
Сосиски особые	Сосиски особые	11.8	24.7	0.0	270
Сосиски Российские Дым Дымыч	Сосиски Российские Дым Дымыч	12.0	25.0	4.0	289
Сосиски Рублёвский Альпийские белые с петрушкой	Сосиски Рублёвский Альпийские белые с петрушкой	12.0	18.0	0.0	210
Сосиски русские	Сосиски русские	11.3	22.0	0.0	243
Сосиски с говядиной Дым Дымыч	Сосиски с говядиной Дым Дымыч	11.0	25.0	4.0	285
Сосиски свиные	Сосиски свиные	9.5	34.3	0.0	342
Сосиски Щедрая Сибирь	Сосиски Щедрая Сибирь	12.0	16.0	5.0	212
Шпикачки	Шпикачки	10.0	33.0	0.0	337
