Аньолотти	10.0	1.1	71.5	344
Мука овсяная Арчеда-Продукт Крупно	Мука овсяная Арчеда-Продукт Крупно	11.9	6.9	62.9	357
Мука овсяная Гарнец	Мука овсяная Гарнец	11.9	5.8	65.4	370
Мука овсяная диетическая	Мука овсяная диетическая	13.0	6.8	64.9	369
Мука овсяная С.Пудовъ	Мука овсяная С.Пудовъ	13.0	7.0	63.0	270
Мука овсяная цельносмолотая Образ Жизни	Мука овсяная цельносмолотая Образ Жизни	17.0	6.1	61.3	368
Мука ореховая	Мука ореховая	50.1	1.8	35.5	333
Мука подсолнечная	Мука подсолнечная	48.1	12.0	30.6	423
Мука полбы	Мука полбы	17.0	2.4	67.8	361
Мука полбяная цельнозерновая Гарнец	Мука полбяная цельнозерновая Гарнец	12.0	2.5	63.0	320
Мука пшеничная	Мука пшеничная	9.2	1.2	74.9	342
Мука пшеничная 1-го сорта	Мука пшеничная 1-го сорта	10.6	1.3	67.6	331
Мука пшеничная 2-го сорта	Мука пшеничная 2-го сорта	11.7	1.8	63.7	324
Мука пшеничная высшего сорта	Мука пшеничная высшего сорта	10.3	1.1	68.9	334
Мука пшеничная высшего сорта Makfa	Мука пшеничная высшего сорта Makfa	10.3	1.1	60.7	334
Мука пшеничная высшего сорта Myllyn Paras	Мука пшеничная высшего сорта Myllyn Paras	12.7	2.0	69.5	350
Мука пшеничная из твёрдых сортов	Мука пшеничная из твёрдых сортов	12.0	1.7	69.4	342
Мука пшеничная из твёрдых сортов Durum	Мука пшеничная из твёрдых сортов Durum	10.4	1.1	71.5	344
Мука пшеничная из цельносмолотого зерна Рязаночка	Мука пшеничная из цельносмолотого зерна Рязаночка	11.3	1.7	75.0	360
Мука пшеничная с отрубями С.Пудовъ	Мука пшеничная с отрубями С.Пудовъ	10.0	1.0	68.0	320
Мука пшеничная цельнозерновая	Мука пшеничная цельнозерновая	11.5	2.2	55.8	298
Мука пшеничная цельнозерновая Кудесница	Мука пшеничная цельнозерновая Кудесница	12.0	2.0	62.0	312
Мука пшеничная цельнозерновая Купеческая	Мука пшеничная цельнозерновая Купеческая	13.0	2.0	65.0	345
