Агар пищевой	4.0	    0.0	    76.0	301
Крем-мёд натуральный	Крем-мёд натуральный	0.8	0.0	80.3	328
Ксилит	Ксилит	0.0	0.0	97.9	367
Куркума	Куркума	12.7	13.8	58.2	325
Куркума (корень)	Куркума (корень)	12.7	13.8	58.2	325
Кэроб	Кэроб	4.6	0.7	49.0	222
Кэроб обжаренный Royal Forest	Кэроб обжаренный Royal Forest	4.0	1.0	40.0	222
Кэроб перуанский Royal Forest	Кэроб перуанский Royal Forest	4.0	0.0	48.0	380
Лавровый лист	Лавровый лист	7.6	8.4	48.7	313
Лецитин	Лецитин	6.0	97.0	4.0	913
Лимонная кислота	Лимонная кислота	0.0	0.0	0.0	
Лотос (корень)	Лотос (корень)	2.6	0.1	12.3	74
Лукума Royal Forest	Лукума Royal Forest	3.0	1.4	66.7	329
Луми	Луми	0.9	0.1	3.0	30
Любисток (корень)	Любисток (корень)	3.7	0.4	7.6	20
Майонез Calve классический	Майонез Calve классический	0.8	50.0	5.0	470
Майонез Calve Легкий	Майонез Calve Легкий	0.8	25.0	6.5	254
Майонез Calve Экстра Легкий	Майонез Calve Экстра Легкий	1.0	8.0	10.0	110
Майонез Диетический	Майонез Диетический	1.4	20.0	4.4	204
Майонез Домашний (готовый)	Майонез Домашний (готовый)	5.3	58.7	4.5	568
Майонез Европейский	Майонез Европейский	1.4	72.0	2.6	665
Майонез Ласка Постный	Майонез Ласка Постный	0.0	56.0	4.3	521
Майонез Лёгкий	Майонез Лёгкий	0.3	30.0	5.2	299
Майонез Любительский	Майонез Любительский	3.1	47.0	3.0	449
Майонез Махеевъ Провансаль	Майонез Махеевъ Провансаль	0.6	40.0	1.8	369
Майонез Махеевъ Провансаль с лимонным соком	Майонез Махеевъ Провансаль с лимонным соком	0.5	67.0	2.1	613
Майонез Махеевъ с перепелиным яйцом	Майонез Махеевъ с перепелиным яйцом	0.5	50.5	1.3	462
Майонез Махеевъ Салатный	Майонез Махеевъ Салатный	0.6	25.0	1.9	235
Майонез на соевом молоке	Майонез на соевом молоке	8.7	30.0	1.7	311
Майонез Провансаль	Майонез Провансаль	3.1	67.0	2.6	624
Майонез Слобода Зеленая Дача с маслом авокадо	Майонез Слобода Зеленая Дача с маслом авокадо	0.4	67.0	2.1	613
Майонез Слобода на перепелиных яйцах	Майонез Слобода на перепелиных яйцах	0.0	67.0	2.2	616
Майонез Слобода Оливковый	Майонез Слобода Оливковый	3.0	67.0	2.8	627
Майонез Слобода Постный	Майонез Слобода Постный	0.0	56.0	2.9	520
Майонез Слобода Провансаль	Майонез Слобода Провансаль	3.0	67.0	2.8	627
Майонез Слобода с лимонным соком	Майонез Слобода с лимонным соком	0.4	67.0	4.5	623
Майонез Слобода Сметанный	Майонез Слобода Сметанный	0.4	67.0	2.1	613
Майонез столовый молочный	Майонез столовый молочный	2.4	67.0	3.9	627
Майоран	12.7	7.0	60.6	271
Мальтоза (солодовый сахар)	Мальтоза (солодовый сахар)	0.0	0.0	95.3	362
Масала	Масала	15.0	15.0	45.0	379
Мёд	Мёд	0.8	0.0	81.5	329
Мёд акациевый	Мёд акациевый	0.8	0.0	71.0	288
Мёд вересковый	Мёд вересковый	0.8	0.0	81.5	329
Мёд гречишный	Мёд гречишный	0.5	0.0	76.8	309
Мёд дягилевый	Мёд дягилевый	0.2	0.0	82.0	329
Мёд искусственный	Мёд искусственный	0.0	0.0	77.0	308
Мёд липовый	Мёд липовый	0.6	0.0	79.7	323
Мёд майский	Мёд майский	0.3	0.0	82.4	331
Мёд монофлорный	Мёд монофлорный	0.8	0.0	80.3	324
Мёд падевый	Мёд падевый	0.8	0.0	80.3	324
Мёд подсолнечный	Мёд подсолнечный	1.0	0.0	79.0	320
Мёд рапсовый	Мёд рапсовый	0.8	0.0	81.5	329
Мёд цветочный	Мёд цветочный	0.3	0.0	80.1	322
Миндальный экстракт	Миндальный экстракт	0.1	0.1	0.1	
Миньонет	Миньонет	10.9	3.2	38.0	255
Мускатный орех	Мускатный орех	20.0	50.0	7.0	556
Мускатный орех молотый	Мускатный орех молотый	20.0	50.0	7.0	555
Мускатный цвет (мацис)	Мускатный цвет (мацис)	6.7	32.3	30.3	475
Мята свежая	Мята свежая	3.7	0.4	8.0	49
Мята сушеная	Мята сушеная	19.9	6.0	22.2	285
Мятная эссенция	Мятная эссенция	0.0	0.0	0.0	
Набор для глинтвейна Глинтмейстер Красная жара	Набор для глинтвейна Глинтмейстер Красная жара	7.0	9.0	63.0	310
Окара	Окара	3.9	1.8	14.0	87
Орегано сушеный	Орегано сушеный	11.0	10.3	21.6	306
Паприка Santa Maria копченая	Паприка Santa Maria копченая	15.0	17.0	13.0	349
Паприка Росагропром красная сладкая молотая	Паприка Росагропром красная сладкая молотая	15.3	0.0	45.4	250
Паприка сушеная	Паприка сушеная	14.1	12.8	34.0	358
Паста карри жёлтая Aroy-D	Паста карри жёлтая Aroy-D	4.0	4.7	19.2	136
Паста карри красная Aroy-D	Паста карри красная Aroy-D	4.4	6.4	9.0	118
Паста Том Ям Aroy-D	Паста Том Ям Aroy-D	6.0	15.6	31.7	294
Патока	Патока	0.0	0.3	78.3	296
