Килька консервированная	Килька консервированная	12.0	11.0	3.1	159
Килька обжаренная в томатном соусе	Килька обжаренная в томатном соусе	14.0	12.0	4.5	182
Килька пряного посола	Килька пряного посола	14.8	10.5	0.0	154
Килька соленая	Килька соленая	17.1	7.6	0.0	137
Китовое мясо	Китовое мясо	22.5	3.2	0.0	119
Клыкач	Клыкач	14.4	16.1	0.0	202
Коктейль Каждый день морской	Коктейль Каждый день морской	16.0	2.5	0.0	83
Коктейль Медитерана из морепродуктов в масле	Коктейль Медитерана из морепродуктов в масле	9.3	31.0	1.0	319
Коктейль Меридиан из морепродуктов в масле	Коктейль Меридиан из морепродуктов в масле	29.8	4.3	3.5	172
Коктейль Меридиан из морепродуктов в масле 415 гр	Коктейль Меридиан из морепродуктов в масле 415 гр	9.1	18.0	1.2	200
Коктейль Меридиан из морепродуктов в рассоле	Коктейль Меридиан из морепродуктов в рассоле	10.0	1.5	1.3	59
Коктейль морской замороженный	Коктейль морской замороженный	2.1	3.6	1.8	124
Конгрио	Конгрио	19.1	1.9	0.0	94
Корюшка	Корюшка	15.4	4.5	0.0	102
Котлеты из трески	Котлеты из трески	12.6	5.9	15.0	164
Краб голубой	Краб голубой	18.1	1.1	0.0	87
Краб камчатский	Краб камчатский	18.3	0.6	0.0	84
Крабовая колбаса	Крабовая колбаса	15.2	0.9	6.8	99
Крабовое мясо	Крабовое мясо	6.0	1.0	10.0	73
Крабовое мясо Мирамар	15.4	6.9	4.0	140
Крабовое мясо Санта Бремор	Крабовое мясо Санта Бремор	4.9	1.7	12.3	84
Крабовые палочки	Крабовые палочки	6.0	1.0	10.0	73
Крабовые палочки Vici Имитация из сурими (замороженные)	Крабовые палочки Vici Имитация из сурими (замороженные)	6.4	1.0	18.0	107
Крабовые палочки Vici сочные	Крабовые палочки Vici сочные	6.0	1.0	10.0	73
Крабовые палочки Меридиан для салата	Крабовые палочки Меридиан для салата	7.5	4.8	13.4	130
Крабовые палочки Меридиан охлажденные	Крабовые палочки Меридиан охлажденные	7.6	0.4	13.8	90
Крабовые палочки Меридиан с мягким сыром с белыми грибами	Крабовые палочки Меридиан с мягким сыром с белыми грибами	10.0	4.4	10.2	120
Крабовые палочки Меридиан с мягким сыром с чесноком и зеленью	Крабовые палочки Меридиан с мягким сыром с чесноком и зеленью	10.0	4.4	10.2	120
Крабовые палочки Меридиан Снежный краб	Крабовые палочки Меридиан Снежный краб	15.4	6.9	4.0	140
Крабовые палочки Мирамар	Крабовые палочки Мирамар	15.4	6.9	4.0	140
Крабовые палочки Санта Бремор Снежный краб	Крабовые палочки Санта Бремор Снежный краб	8.9	1.0	6.3	70
Крабы консервированные	Крабы консервированные	18.7	1.1	0.1	85
Крабы отварные	Крабы отварные	16.0	3.6	0.0	96
Красноглазка	Красноглазка	21.9	4.2	0.0	125
Краснопёрка	Краснопёрка	18.3	3.0	0.0	100
Креветки Polar Premium свежемороженые	Креветки Polar Premium свежемороженые	17.0	1.2	1.0	80
Креветки консервированные	Креветки консервированные	17.8	1.1	0.0	81
Креветки Королевские	Креветки Королевские	18.3	1.2	0.8	87
Креветки маринованные	Креветки маринованные	12.2	1.3	0.0	60
Креветки отварные	Креветки отварные	18.9	2.2	0.0	95
Креветки очищенные замороженные	Креветки очищенные замороженные	14.0	1.0	0.0	60
Креветки свежие	Креветки свежие	22.0	1.0	0.0	97
Креветки Тигровые	Креветки Тигровые	19.2	0.6	0.0	89
Кукумария	Кукумария	7.3	0.6	0.0	35
Кумжа	Кумжа	16.7	3.6	0.0	104
Лангуст (мясо шеек)	Лангуст (мясо шеек)	17.5	2.0	0.0	88
Лангустин	Лангустин	20.6	1.5	2.4	112
Ледяная рыба	Ледяная рыба	17.7	2.2	0.0	90
Лемонема	Лемонема	15.9	0.4	0.0	67
Летрин	Летрин	20.2	0.4	0.0	84
Летучая рыба	Летучая рыба	15.5	1.8	0.0	87
Лещ вяленый	Лещ вяленый	42.0	5.9	0.0	221
Лещ горячего копчения	Лещ горячего копчения	32.8	4.5	0.0	172
Лещ морской	Лещ морской	21.3	6.4	0.0	105
Лещ отварной	Лещ отварной	20.9	4.7	0.0	126
Лещ свежий	Лещ свежий	17.1	4.1	0.0	105
Лещ холодного копчения	Лещ холодного копчения	29.7	4.6	0.0	160
Лимонелла	Лимонелла	17.6	1.0	0.0	79
Линь	Линь	7.0	1.8	0.0	40
Лобстер	Лобстер	18.8	0.9	0.5	90
Лососевый фарш	Лососевый фарш	19.0	6.0	0.0	130
Лосось консервированный	Лосось консервированный	20.6	6.3	0.0	144
Лосось копчёный	Лосось копчёный	21.5	8.4	0.0	162
Лосось Королевский свежий	Лосось Королевский свежий	20.3	11.7	0.0	187
Лосось маринованный	Лосось маринованный	21.0	17.0	0.0	237
Лосось с гриля	Лосось с гриля	20.7	22.3	0.6	283
Лосось свежий	Лосось свежий	19.8	6.3	0.0	142
Лосось солёный	Лосось солёный	23.0	13.0	0.0	209
Лосось соте	Лосось соте	21.1	31.4	4.1	379
Лосось филе слабосоленое	Лосось филе слабосоленое	21.1	16.7	1.0	233
Луфарь	Луфарь	19.7	3.4	0.0	109
Макрель	Макрель	20.7	3.4	0.0	113
Макрурус	Макрурус	13.2	0.8	0.0	60
Марлин	Марлин	20.1	3.6	0.0	112
Масляная рыба	Масляная рыба	18.8	4.2	0.0	112
Масляная рыба копченая	Масляная рыба копченая	18.0	12.0	0.0	180
Махи-махи (корифена)	Махи-махи (корифена)	18.5	0.7	0.0	85
Мерланг	Мерланг	17.5	2.0	0.0	88
Меч-рыба	Меч-рыба	19.7	6.7	0.0	144
Мидии варено-мороженые целые в собственном соку 40/60	Мидии варено-мороженые целые в собственном соку 40/60	16.7	1.7	2.7	89
Мидии жареные	Мидии жареные	11.2	1.6	0.0	59
Мидии консервированные	Мидии консервированные	17.5	2.0	0.0	88
Мидии маринованные	Мидии маринованные	7.0	1.1	7.2	67
Мидии Меридиан Milegrin отборные в масле с прованскими травами	Мидии Меридиан Milegrin отборные в масле с прованскими травами	7.2	18.8	1.0	200
Мидии Меридиан в рассоле	Мидии Меридиан в рассоле	10.5	1.5	3.1	70
Мидии отварные	Мидии отварные	9.1	1.5	0.0	50
Мидии свежие	Мидии свежие	11.5	6.9	3.3	77
Минога	Минога	17.5	2.0	0.0	88
Минога маринованная	Минога маринованная	17.5	2.0	0.0	88
Минтай (печень)	Минтай (печень)	6.0	50.0	0.0	474
Минтай (филе)	Минтай (филе)	16.0	1.0	0.0	72
Минтай в кляре	Минтай в кляре	17.1	16.4	15.2	281
Минтай отварной	Минтай отварной	17.6	1.0	0.0	79
Минтай под маринадом	Минтай под маринадом	13.5	12.6	11.0	211
Минтай свежий	Минтай свежий	15.9	0.9	0.0	72
Мойва весенняя	Мойва весенняя	13.1	7.1	0.0	116
Мойва жареная	Мойва жареная	20.0	30.3	4.2	369
Мойва копченая	Мойва копченая	18.0	22.0	0.0	270
Мойва маринованная	Мойва маринованная	13.8	18.1	0.0	217
Мойва осенняя	13.6	18.1	0.0	217
Мойва свежая	Мойва свежая	13.4	11.5	0.0	157
Мойва соленая	Мойва соленая	13.6	18.1	0.0	217
Моллюски	Моллюски	16.7	1.1	0.0	77
Молоки рыбьи	Молоки рыбьи	16.0	2.9	0.0	90
Мольва (морская щука)	Мольва (морская щука)	18.9	0.6	0.0	87
Морепродукты	Морепродукты	15.5	1.0	0.1	85
Морепродукты консервированные	Морепродукты консервированные	10.0	1.7	1.3	61
Морепродукты Меридиан с заправкой для салата	Морепродукты Меридиан с заправкой для салата	10.2	1.6	2.9	65
Морская капуста	Морская капуста	0.8	5.1	0.0	49
Морская капуста маринованная	Морская капуста маринованная	1.0	5.0	3.0	61
Морская капуста сушеная	Морская капуста сушеная	31.5	21.8	38.1	476
Морское ухо	Морское ухо	16.7	1.1	0.0	77
Морской гребешок	Морской гребешок	17.0	2.0	3.0	92
Морской дракон	Морской дракон	15.3	1.5	0.0	79
Морской еж	Морской еж	13.8	4.3	2.5	84
Морской желудь балянус	Морской желудь балянус	17.5	0.1	0.0	80
Морской петух	Морской петух	18.0	2.7	0.0	161
Муксун	Муксун	17.5	2.0	0.0	88
Мясо криля	Мясо криля	17.5	1.8	2.8	97
Навага	Навага	16.1	1.0	0.0	73
Навага беломорская	Навага беломорская	19.2	1.6	0.0	91
Навага дальневосточная	Навага дальневосточная	15.1	0.9	0.0	68
Налим (печень)	Налим (печень)	4.2	65.7	1.2	613
Налим отварной	Налим отварной	21.4	0.7	0.0	92
Налим свежий	Налим свежий	18.8	0.6	0.0	80
Нельма	Нельма	22.3	2.8	0.0	115
Нерка	Нерка	20.3	8.4	0.0	157
Нототения	Нототения	15.7	9.5	0.0	148
