Сыворотка творожная	0.8	0.2	3.5	20
Сыр Моцарелла	Сыр Моцарелла	18.8	18.1	1.0	242
Сыр Мраморный	Сыр Мраморный	24.8	25.2	0.0	326
Сыр Мюнстер	Сыр Мюнстер	24.7	17.6	3.5	274
Сыр Ночерино	Сыр Ночерино	20.0	28.0	0.0	332
Сыр Ольтермани 17%	Сыр Ольтермани 17%	29.0	17.0	0.0	270
Сыр Ольтермани 29%	Сыр Ольтермани 29%	25.0	29.0	0.0	360
Сыр Ольтермани 55%	Сыр Ольтермани 55%	23.0	34.0	0.0	400
Сыр Ольтермани 9%	Сыр Ольтермани 9%	31.0	9.0	0.0	210
Сыр Осетинский	Сыр Осетинский	26.0	26.5	3.5	356
Сыр Паладин Моцарелла	Сыр Паладин Моцарелла	19.0	20.0	0.0	255
Сыр Панир	Сыр Панир	12.8	15.7	21.0	274
Сыр Пармезан	Сыр Пармезан	33.0	28.0	0.0	392
Сыр Пекорино	Сыр Пекорино	25.5	33.0	0.0	419
Сыр Перлини копченый	Сыр Перлини копченый	17.7	18.0	0.0	233
Сыр Песто зелёный	Сыр Песто зелёный	23.0	32.0	0.0	380
Сыр плавленый	Сыр плавленый	16.8	11.2	23.8	257
Сыр плавленый шоколадный	Сыр плавленый шоколадный	11.6	18.5	25.8	311
Сыр Полесский	Сыр Полесский	23.0	14.3	0.0	221
Сыр Пошехонский	Сыр Пошехонский	26.0	26.5	0.0	350
Сыр Прибалтийский	Сыр Прибалтийский	24.6	25.2	0.0	332
Сыр Радость вкуса Лёгкий 35%	Сыр Радость вкуса Лёгкий 35%	26.5	17.0	0.0	259
Сыр Раклет	Сыр Раклет	22.7	28.0	1.0	357
Сыр Реблошон	Сыр Реблошон	19.7	25.6	2.3	327
Сыр Рикотта	Сыр Рикотта	11.0	13.0	3.0	174
Сыр Ровеньки Диетический 20%	Сыр Ровеньки Диетический 20%	32.0	9.0	0.0	209
Сыр Ровеньки Королевский 45%	Сыр Ровеньки Королевский 45%	24.5	25.5	0.0	328
Сыр Рокамадур	Сыр Рокамадур	21.3	21.7	0.7	290
Сыр Рокишкио	Сыр Рокишкио	32.0	25.0	0.0	366
Сыр Рокфор	Сыр Рокфор	20.0	28.0	0.0	337
Сыр Российский	Сыр Российский	24.1	29.5	0.3	363
Сыр Ружетт	Сыр Ружетт	35.0	15.0	0.5	377
Сыр Русская Моцарелла Кезский сырзавод	Сыр Русская Моцарелла Кезский сырзавод	23.7	21.2	0.0	286
Сыр с белой плесенью	Сыр с белой плесенью	21.3	21.7	0.0	290
Сыр с голубой плесенью	Сыр с голубой плесенью	17.6	31.0	1.8	363
Сыр с красной плесенью	Сыр с красной плесенью	20.0	29.0	0.0	340
Сыр с плесенью	Сыр с плесенью	20.0	29.0	0.0	340
Сыр Салер	Сыр Салер	26.3	26.6	0.0	350
Сыр Сармич Гурман Лёгкий	Сыр Сармич Гурман Лёгкий	25.0	15.0	0.0	220
Сыр Сармич Тильзитер	Сыр Сармич Тильзитер	26.0	26.0	0.0	340
Сыр Сбринц	Сыр Сбринц	30.0	33.0	0.0	429
Сыр Сваля 45% в нарезке	Сыр Сваля 45% в нарезке	26.5	25.2	0.0	339
Сыр Сиртаки рассольный Classic	Сыр Сиртаки рассольный Classic	10.0	17.0	8.0	225
Сыр Сметанковый	Сыр Сметанковый	21.0	27.5	0.0	332
Сыр Снофриск козий натуральный	Сыр Снофриск козий натуральный	6.0	25.0	0.0	257
Сыр Степной	Сыр Степной	24.0	26.3	1.7	350
Сыр Стилтон	Сыр Стилтон	21.4	28.7	2.3	353
Сыр Сулугуни	Сыр Сулугуни	20.0	24.0	0.0	290
Сыр Сулугуни Кезский сырзавод	Сыр Сулугуни Кезский сырзавод	22.3	19.0	0.0	260
Сыр Сулугуни копченый Кезский сырзавод	Сыр Сулугуни копченый Кезский сырзавод	22.3	19.0	0.0	246
Сыр Сыробогатов Гауда 45%	Сыр Сыробогатов Гауда 45%	23.2	24.8	0.0	316
Сыр Сыробогатов Лёгкий 25%	Сыр Сыробогатов Лёгкий 25%	33.0	13.0	0.0	254
Сыр Сыробогатов Прибалтийский 9%	Сыр Сыробогатов Прибалтийский 9%	26.0	9.0	0.0	190
Сыр Сыробогатов Российский 50%	Сыр Сыробогатов Российский 50%	23.0	29.0	0.0	362
Сыр Сыробогатов Эдам 45%	Сыр Сыробогатов Эдам 45%	23.2	24.3	0.0	310
Сыр сычужный	Сыр сычужный	22.0	23.4	0.0	305
Сыр Творожный ломтик с прованскими травами	Сыр Творожный ломтик с прованскими травами	12.7	30.0	1.4	327
Сыр Тильзитер	Сыр Тильзитер	27.8	25.0	0.1	334
Сыр Тофу	Сыр Тофу	8.1	4.2	0.6	73
Сыр Тофу Bon Soya с укропом и петрушкой	Сыр Тофу Bon Soya с укропом и петрушкой	20.0	10.0	1.0	172
Сыр Тофу Боб и Соя по-русски	Сыр Тофу Боб и Соя по-русски	9.0	5.0	3.0	93
Сыр Тофу ВкусВилл классический	Сыр Тофу ВкусВилл классический	12.7	6.6	5.5	132
Сыр Тофу Житное Подворье с укропом и чесноком	Сыр Тофу Житное Подворье с укропом и чесноком	7.0	2.3	1.0	55
Сыр Тофу копчёный	Сыр Тофу копчёный	8.7	3.7	1.7	80
Сыр Тофу шелковый	Сыр Тофу шелковый	5.6	4.4	8.1	94
Сыр Тофу ЯСО Весенние травы	Сыр Тофу ЯСО Весенние травы	13.0	8.5	0.5	130
Сыр Тофу ЯСО Клубника	13.0	9.0	11.0	179
Сыр Тофу ЯСО Копченый	Сыр Тофу ЯСО Копченый	14.0	9.0	2.0	140
Сыр Тофу ЯСО Натуральный	Сыр Тофу ЯСО Натуральный	14.0	9.0	1.0	140
Сыр Тофу ЯСО Паприка	Сыр Тофу ЯСО Паприка	12.0	8.5	1.5	130
Сыр Тофу ЯСО Яблоко-корица	Сыр Тофу ЯСО Яблоко-корица	12.0	9.0	5.0	151
Сыр Тысяча Озёр Лёгкий 15%	Сыр Тысяча Озёр Лёгкий 15%	31.0	15.0	0.0	268
Сыр Тысяча Озер Утренний 45%	Сыр Тысяча Озер Утренний 45%	29.3	27.1	0.0	361
Сыр Угличский	Сыр Угличский	25.8	26.3	0.0	347
Сыр Фавита	Сыр Фавита	14.0	12.0	3.0	176
Сыр Фермерский	Сыр Фермерский	18.5	14.1	1.5	207
Сыр Фета	Сыр Фета	17.0	24.0	0.0	290
Сыр Филадельфия	Сыр Филадельфия	5.4	24.0	3.2	253
Сыр Фонтина	Сыр Фонтина	25.6	31.1	1.6	389
Сыр Холлендер	Сыр Холлендер	28.0	17.0	0.1	265
Сыр Чанах	Сыр Чанах	19.5	22.0	0.0	285
Сыр Чеддер	Сыр Чеддер	23.0	32.0	0.0	392
Сыр Чечил	Сыр Чечил	19.5	22.8	1.9	313
Сыр Чечил рассольный копчёный	Сыр Чечил рассольный копчёный	19.5	26.0	2.2	320
Сыр Швейцарский	Сыр Швейцарский	24.9	31.8	0.0	396
