Ангурия (Антильский огурец)	1.8	1.3	7.6	44
Овощная смесь Бондюэль для жарки Индонезийская	Овощная смесь Бондюэль для жарки Индонезийская	1.8	0.0	7.8	38
Овощная смесь Бондюэль для жарки Китайская	Овощная смесь Бондюэль для жарки Китайская	2.5	0.4	11.7	61
Овощная смесь Бондюэль для жарки По-деревенски	Овощная смесь Бондюэль для жарки По-деревенски	1.7	4.6	4.4	65
Овощная смесь Бондюэль для жарки Полевая	Овощная смесь Бондюэль для жарки Полевая	2.0	0.4	3.3	25
Овощная смесь Бондюэль для жарки с рисом и шампиньонами	Овощная смесь Бондюэль для жарки с рисом и шампиньонами	2.5	0.3	14.7	58
Овощная смесь Бондюэль Китайская	Овощная смесь Бондюэль Китайская	1.3	0.2	3.2	19
Овощная смесь Бондюэль Летняя в сливочном соусе	Овощная смесь Бондюэль Летняя в сливочном соусе	2.0	2.8	9.3	70
Овощная смесь Бондюэль Маседуан	Овощная смесь Бондюэль Маседуан	2.2	0.3	7.9	43
Овощная смесь Бондюэль Мексиканская	Овощная смесь Бондюэль Мексиканская	3.6	0.7	12.7	72
Овощная смесь Бондюэль Минестрон	Овощная смесь Бондюэль Минестрон	1.9	0.7	11.8	51
Овощная смесь Бондюэль Царская	Овощная смесь Бондюэль Царская	1.4	0.3	5.1	20
Овощная смесь ВкусВилл для Wok	Овощная смесь ВкусВилл для Wok	1.4	0.0	6.2	30
Овощная смесь Мираторг Кус-кус с овощами в соусе Марокко	Овощная смесь Мираторг Кус-кус с овощами в соусе Марокко	0.0	1.1	30.7	166
Овощная смесь Свой урожай Американская	Овощная смесь Свой урожай Американская	2.5	0.2	8.4	46
Овощное рагу 4 сезона	Овощное рагу 4 сезона	0.5	0.1	3.8	38
Овощные наггетсы Vитамин Весенние со шпинатом	Овощные наггетсы Vитамин Весенние со шпинатом	1.4	0.0	12.0	54
Овощные наггетсы Vитамин Витаминный микс	Овощные наггетсы Vитамин Витаминный микс	1.6	0.0	11.6	53
Овощные наггетсы Vитамин Рататуй	Овощные наггетсы Vитамин Рататуй	0.9	6.8	12.0	113
Огурец	Огурец	0.8	0.1	2.8	15
Огурец китайский	Огурец китайский	0.8	0.1	2.5	14
Огурец консервированный	Огурец консервированный	2.8	0.0	1.3	16
Огурец маринованный	Огурец маринованный	2.8	0.0	1.3	16
Огурец парниковый	Огурец парниковый	0.7	0.0	1.8	10
Огурцы солёные	Огурец солёный	0.8	0.1	1.7	11
Огурцы Бондюэль корнишоны маринованные 3-6 см	Огурцы Бондюэль корнишоны маринованные 3-6 см	1.0	0.2	3.5	20
Огурцы Бондюэль маринованные 6-9 см	Огурцы Бондюэль маринованные 6-9 см	1.0	0.2	3.5	20
Одуванчик	Одуванчик	2.7	0.7	6.7	45
Оливки	Оливки	0.8	10.7	6.3	115
Оливки Бондюэль Мансанилья с голубым сыром	Оливки Бондюэль Мансанилья с голубым сыром	2.2	10.5	5.1	167
Оливки Бондюэль с косточкой / без косточки	Оливки Бондюэль с косточкой / без косточки	1.4	18.2	5.1	160
Пастернак	Пастернак	1.4	0.5	9.2	47
Пастушья сумка	Пастушья сумка	0.7	0.1	5.2	29
Патиссон	Патиссон	0.6	0.1	4.3	19
Патиссон консервированный	Патиссон консервированный	3.9	0.0	2.0	18
Пачули	Пачули	0.0	0.0	0.0	1
Перец мини	Перец мини	1.3	0.0	5.7	27
Перец Рамиро	Перец Рамиро	1.3	0.1	5.2	30
