Десерт Маффин с шоколадом	Десерт Маффин с шоколадом	6.0	12.0	55.0	350
Десерт Мороженое с карамелью	Десерт Мороженое с карамелью	5.0	7.0	60.0	325
Десерт Мороженое с клубникой	Десерт Мороженое с клубникой	5.0	5.0	50.0	265
Десерт Мороженое с шоколадом	Десерт Мороженое с шоколадом	6.0	9.0	52.0	315
Картофель по-деревенски McDonalds	Картофель по-деревенски McDonalds	4.0	15.0	42.0	330
Картофель фри McDonalds (большая порция)	Картофель фри McDonalds (большая порция)	5.0	22.0	54.0	445
Картофель фри McDonalds (маленькая порция)	Картофель фри McDonalds (маленькая порция)	3.0	12.0	29.0	240
Картофель фри McDonalds (средняя порция)	Картофель фри McDonalds (средняя порция)	5.0	17.0	42.0	340
Коктейль ванильный McDonalds 400 мл	Коктейль ванильный McDonalds 400 мл	9.0	7.0	71.0	385
Коктейль клубничный McDonalds 400 мл	Коктейль клубничный McDonalds 400 мл	9.0	7.0	71.0	385
Коктейль шоколадный McDonalds 400 мл	Коктейль шоколадный McDonalds 400 мл	10.0	8.0	70.0	395
Макзавтрак Блины с джемом	Макзавтрак Блины с джемом	7.0	3.0	57.0	303
Макзавтрак Блины с мёдом	Макзавтрак Блины с мёдом	7.0	3.0	59.0	308
Макзавтрак Блины стандартные	Макзавтрак Блины стандартные	7.0	3.0	45.0	235
Макзавтрак двойной МакМаффин с яйцом и свиной котлетой	Макзавтрак двойной МакМаффин с яйцом и свиной котлетой	36.0	41.0	31.0	645
Макзавтрак двойной Фреш МакМаффин	Макзавтрак двойной Фреш МакМаффин	27.0	35.0	33.0	560
Макзавтрак МакМаффин с яйцом и беконом	Макзавтрак МакМаффин с яйцом и беконом	17.0	14.0	27.0	310
Макзавтрак МакМаффин с яйцом и свиной котлетой	Макзавтрак МакМаффин с яйцом и свиной котлетой	24.0	25.0	27.0	435
Макзавтрак МакМаффин с яйцом и сыром	Макзавтрак МакМаффин с яйцом и сыром	15.0	11.0	27.0	275
Макзавтрак МакМаффин со свиной котлетой	Макзавтрак МакМаффин со свиной котлетой	17.0	20.0	27.0	360
Макзавтрак МакТост	Макзавтрак МакТост	10.0	10.0	30.0	255
Макзавтрак МакТост с ветчиной	Макзавтрак МакТост с ветчиной	14.0	11.0	30.0	280
Макзавтрак Овсяная каша с джемом	Макзавтрак Овсяная каша с джемом	4.0	4.0	35.0	200
Макзавтрак Овсяная каша с клюквой и изюмом	Макзавтрак Овсяная каша с клюквой и изюмом	4.3	4.0	38.0	212
Макзавтрак Овсяная каша с мёдом	Макзавтрак Овсяная каша с мёдом	4.0	4.0	35.0	210
Макзавтрак Овсяная каша стандартная	Макзавтрак Овсяная каша стандартная	4.0	4.0	23.0	150
Макзавтрак Снек Ролл с омлетом и беконом	Макзавтрак Снек Ролл с омлетом и беконом	16.0	16.0	27.0	320
Макзавтрак Снек Ролл с омлетом и свиной котлетой	Макзавтрак Снек Ролл с омлетом и свиной котлетой	22.0	26.0	27.0	435
Макзавтрак Фреш МакМаффин	Макзавтрак Фреш МакМаффин	18.0	21.0	33.0	400
Макзавтрак Хашбраун	Макзавтрак Хашбраун	1.0	8.0	14.0	135
Макзавтрак Чикен Фреш МакМаффин	Макзавтрак Чикен Фреш МакМаффин	19.0	13.0	41.0	365
Морковные палочки McDonalds	Морковные палочки McDonalds	1.0	0.0	6.0	27
Напиток Апельсиновый сок McDonalds 400 мл	Напиток Апельсиновый сок McDonalds 400 мл	3.0	1.0	41.0	190
Напиток Двойной Эспрессо McDonalds	Напиток Двойной Эспрессо McDonalds	0.2	0.1	0.2	3
Напиток Капучино McDonalds 300 мл	Напиток Капучино McDonalds 300 мл	6.0	7.0	9.0	125
Напиток Кока-Кола McDonalds 400 мл	Напиток Кока-Кола McDonalds 400 мл	0.0	0.0	42.0	170
Напиток Кока-Кола Лайт McDonalds 400 мл	Напиток Кока-Кола Лайт McDonalds 400 мл	0.4	0.0	0.0	2
Напиток Кофе McDonalds 200 мл	Напиток Кофе McDonalds 200 мл	0.6	0.2	0.6	7
Напиток Кофе Глясе McDonalds	Напиток Кофе Глясе McDonalds	4.0	3.0	19.0	125
Напиток Кофе Латте McDonalds	Напиток Кофе Латте McDonalds	6.0	7.0	10.0	125
Напиток Липтон Айс-Ти Зелёный McDonalds 400 мл	Напиток Липтон Айс-Ти Зелёный McDonalds 400 мл	0.0	0.0	27.0	110
