Амарант	13.6	7.0	69.0	371
Овсяная каша Мистраль Черничный чизкейк	Овсяная каша Мистраль Черничный чизкейк	9.3	6.6	64.7	351
Овсяная каша Мистраль Яблоко-Груша	Овсяная каша Мистраль Яблоко-Груша	10.5	6.3	56.6	337
Овсяная каша Мистраль Ягодный мусс	Овсяная каша Мистраль Ягодный мусс	10.5	5.9	68.4	363
Овсяная каша на воде	Овсяная каша на воде	3.0	1.7	15.0	88
Овсяная каша на молоке	Овсяная каша на молоке	3.2	4.1	14.2	102
Овсяная крупа	Овсяная крупа	12.3	6.1	59.5	342
Овсяная манка Гарнец безглютеновая	Овсяная манка Гарнец безглютеновая	12.3	6.1	59.5	342
Овсяно-Манная крупа Myllyn Paras	Овсяно-Манная крупа Myllyn Paras	14.5	5.1	69.1	345
Овсяные + Рисовые хлопья Myllyn Paras	Овсяные + Рисовые хлопья Myllyn Paras	10.3	4.0	68.0	346
Овсяные волокна Evolution Food	Овсяные волокна Evolution Food	0.8	0.1	90.4	8
Овсяные отруби	Овсяные отруби	18.0	7.7	45.3	320
Овсяные отруби Dr. Dias очищающие	Овсяные отруби Dr. Dias очищающие	10.8	2.6	16.6	129
Овсяные отруби Myllyn Paras	Овсяные отруби Myllyn Paras	18.0	7.7	45.3	320
Овсяные отруби Nordic	Овсяные отруби Nordic	18.0	8.5	43.0	360
Овсяные отруби Диадар хрустящие	Овсяные отруби Диадар хрустящие	13.5	4.8	25.0	197
Овсяные отруби Мистраль	Овсяные отруби Мистраль	17.8	6.9	65.8	346
Овсяные отруби Ого!	Овсяные отруби Ого!	12.5	4.5	62.0	356
Овсяные отруби с черникой	Овсяные отруби с черникой	8.0	4.0	13.0	118
Овсяные хлопья	Овсяные хлопья	11.9	7.2	69.3	366
Овсяные хлопья + Отруби Myllyn Paras	Овсяные хлопья + Отруби Myllyn Paras	16.2	7.6	50.0	335
Овсяные хлопья 4 Life органические	Овсяные хлопья 4 Life органические	14.0	6.5	56.0	340
Овсяные хлопья Bruggen Haferflocken цельные	Овсяные хлопья Bruggen Haferflocken цельные	13.5	7.0	58.7	372
Овсяные хлопья Makfa	Овсяные хлопья Makfa	13.0	6.0	70.0	380
Овсяные хлопья Makfa с отрубями	Овсяные хлопья Makfa с отрубями	14.0	5.0	62.0	345
Овсяные хлопья Myllyn Paras	Овсяные хлопья Myllyn Paras	14.0	7.5	56.0	350
Овсяные хлопья Myllyn Paras быстрого приготовления	Овсяные хлопья Myllyn Paras быстрого приготовления	14.0	7.5	56.0	350
Овсяные хлопья Myllyn Paras крупные	Овсяные хлопья Myllyn Paras крупные	14.0	7.5	56.0	359
Овсяные хлопья Nordic с овсяными отрубями	Овсяные хлопья Nordic с овсяными отрубями	15.0	8.0	53.0	370
Овсяные хлопья Nordic с пшеничными отрубями	Овсяные хлопья Nordic с пшеничными отрубями	15.0	7.6	47.0	360
Овсяные хлопья Геркулес	Овсяные хлопья Геркулес	12.5	6.2	61.0	352
Овсяные хлопья Геркулес Makfa традиционный	Овсяные хлопья Геркулес Makfa традиционный	12.0	6.0	62.0	350
Овсяные хлопья Геркулес Агро-Альянс Классик	Овсяные хлопья Геркулес Агро-Альянс Классик	11.0	6.0	51.0	310
Овсяные хлопья Геркулес Лидкон	Овсяные хлопья Геркулес Лидкон	11.0	6.0	50.0	300
Овсяные хлопья Геркулес Националь	Овсяные хлопья Геркулес Националь	11.0	6.0	49.0	290
