Ассорти мясное	11.3	23.5	0.9	264
Салат Охотничий готовый	Салат Охотничий готовый	14.4	14.8	7.3	219
Салат Печеночный готовый	Салат Печеночный готовый	5.6	14.4	3.2	164
Салат Пикантный готовый	Салат Пикантный готовый	5.9	17.7	4.6	202
Салат Птица по-английски готовый	Салат Птица по-английски готовый	12.6	17.9	1.2	216
Салат Розовый фламинго готовый	Салат Розовый фламинго готовый	7.3	16.0	5.8	206
Салат Русалочка готовый	Салат Русалочка готовый	7.8	15.6	2.7	203
Салат Русский узор готовый	Салат Русский узор готовый	3.2	14.9	8.2	177
Салат Санта Бремор из морских водорослей Чука	Салат Санта Бремор из морских водорослей Чука	2.0	6.0	14.0	120
Салат Санта Бремор из морских водорослей Чука с ореховым соусом	Салат Санта Бремор из морских водорослей Чука с ореховым соусом	3.5	3.0	11.0	85
Салат Сеул готовый	Салат Сеул готовый	6.9	7.6	4.5	106
Салат Солнышко готовый	Салат Солнышко готовый	10.0	20.3	3.7	239
Салат Спаржа по-корейски Healthy Food	Салат Спаржа по-корейски Healthy Food	33.5	28.6	16.7	459
Салат Столичный готовый	Салат Столичный готовый	7.6	18.8	6.4	217
Салат Сыр с грибами готовый	Салат Сыр с грибами готовый	17.0	13.3	0.2	189
Салат Сытницкий готовый	Салат Сытницкий готовый	9.2	27.6	2.0	292
Салат Татьянин день готовый	4.0	15.0	2.8	161
Салат Фаворит готовый	Салат Фаворит готовый	16.6	12.3	0.4	178
Салат Фермер готовый	Салат Фермер готовый	4.7	16.6	2.7	179
Салат Фитнес готовый	Салат Фитнес готовый	1.9	10.1	23.8	192
Салат Фунчоза готовый	Салат Фунчоза готовый	0.2	3.5	6.4	82
Салат Чешский готовый	Салат Чешский готовый	14.0	9.0	3.4	149
Свекла с орехами готовая	Свекла с орехами готовая	3.2	20.0	8.6	225
Свекла с сыром готовая	Свекла с сыром готовая	1.9	13.4	9.1	162
Сельдь под шубой готовая	Сельдь под шубой готовая	5.1	16.2	7.3	193
Семга под шубой готовая	Семга под шубой готовая	18.0	24.5	4.3	310
